Ticker,QuarterEnd,P/B,EPS,P/E,EV/EBITDA,PEG,Beta,ROE,ROA,Debt_to_Equity
BRK-B,2024-12-31,0.0010004031576284333,13693.286785150842,0.033102351969348874,-2.18,,0.8,0.03022151291711105,0.017067617891273017,0.19145406695260528
BRK-B,2024-09-30,0.0010472731694842097,18260.193321127874,0.02520564824651025,-2.18,,0.8,0.04154914641519707,0.02288165362244182,0.19706523838013568
BRK-B,2024-06-30,0.000961308870426726,21123.466620635125,0.019258202031837583,-2.18,,0.8,0.04991685458681417,0.02736864888263622,0.20334522534791954
BLK,2025-06-30,2.9231459978072727,10.293951241294463,94.68937839224789,21.383,,1.432,0.03087089647688074,0.010875947292961015,0.28506647029184917
BLK,2025-03-31,2.908003189674057,9.740524741677897,96.657404032941,21.383,,1.432,0.030085674437138873,0.010638147975933833,0.28410041841004186
BLK,2024-12-31,3.1839521816679723,10.777822336866413,94.09817959654059,21.383,,1.432,0.03383649073042245,0.012047758179129243,0.28815722824435214
BLK,2024-09-30,3.170268247624878,11.023728443676912,84.79447089784654,21.383,,1.432,0.03738767650834403,0.012280146970244548,0.3250275077938749
BLK,2024-06-30,2.7032857359541067,10.088368779531212,76.3773151845923,21.383,,1.432,0.035393830346362364,0.011934126813069266,0.27647434835105
BX,2025-06-30,5.120417790717356,0.9765855436424459,141.22802686104998,,,1.699,0.036256385538510585,0.016843550497129423,0.6133037903342113
BX,2025-03-31,5.368786668440913,0.7953700298360393,173.45706998801649,,,1.699,0.030951673914541643,0.01358619940958063,0.6741501833661105
BX,2024-12-31,6.653668852530802,0.9156402175698205,184.28519645606633,,,1.699,0.03610528127318702,0.01619220207097444,0.6302481942178552
BX,2024-09-30,5.881678167328044,1.0168509391106477,146.6206285681719,,,1.699,0.04011494306610022,0.018340032735303137,0.6107861821928975
BX,2024-06-30,4.929938445211987,0.5784950297172609,207.15622113103993,,,1.699,0.02379816748102137,0.010950195452613819,0.6335184273355433
XYZ,2025-06-30,1.7032147175875558,0.8824243735281537,69.97766817467658,28.694,,2.711,0.02433940372714381,0.014608830862964148,0.27674840161042236
XYZ,2025-03-31,1.563549862404087,0.30779667347162976,176.51263484516636,28.694,,2.711,0.008858005342085593,0.005216899080044556,0.28201241572574
XYZ,2024-12-31,2.480167467039934,3.1403830388783818,27.063576898608055,28.694,,2.711,0.09164226429979012,0.052913193480976665,0.372904505315338
XYZ,2024-09-30,2.078335364312852,0.460348903046615,145.82417120828975,28.694,,2.711,0.014252337915531413,0.007804995319131789,0.37214753209493356
XYZ,2024-06-30,2.0644860484661787,0.31616357710360954,203.97668338195578,28.694,,2.711,0.010121186472084816,0.005200683950078036,0.38195536773839417
BK,2025-06-30,1.3956327377940212,2.017750487090356,43.682422001832684,,,1.118,0.03194952738049799,0.0029293035338969617,0.810143918812726
BK,2025-03-31,1.3597849352487053,1.7052579469266,48.62122805766743,,,1.118,0.02796689819590583,0.002768379658309337,0.75059028494143
BK,2024-12-31,1.2980257694864308,1.609351756623745,46.9357127591613,,,1.118,0.027655396992625227,0.002776015228426396,0.7513648117996361
BK,2024-09-30,1.2043646238691001,1.6256845617401987,43.19206125703144,,,1.118,0.027883934890304315,0.002765164541326577,0.7997405048360462
BK,2024-06-30,1.0423336758606736,1.5827469760558663,36.69674921666674,,,1.118,0.028403978502468324,0.0027255395658271476,0.7667128717686826
BRO,2025-06-30,3.20026085579057,0.7003877856154102,160.94125697713878,17.793,,0.783,0.019884651803391582,0.009010766110157591,0.6654902298355858
BRO,2025-03-31,5.196910361258506,1.154808518879401,107.40804767785329,17.793,,0.783,0.04838473907323491,0.019749403341288784,0.583540418067534
BRO,2024-12-31,4.5124823266157215,0.7343725777725914,138.3183273163114,17.793,,0.783,0.03262389311791207,0.01192368839427663,0.6307286002796334
BRO,2024-09-30,4.546275894730179,0.8181818181818182,125.89687093098958,17.793,,0.783,0.03611111111111111,0.013352353780313837,0.582253086419753
BRO,2024-06-30,4.1912758577456435,0.9017543859649123,98.45421149109124,17.793,,0.783,0.042570813317873116,0.01611891620672353,0.7116117276793109
COF,2025-06-30,1.087245371105495,-6.687856544104219,-28.20584460986236,,,1.165,-0.038546811348642705,-0.00649045173665489,0.46796928512203034
COF,2025-03-31,1.0742553958664482,3.6661870185138032,48.61847319383607,,,1.165,0.022095621793459443,0.0028443853777522063,0.6483900412325706
COF,2024-12-31,1.1085185978387184,2.874902326439425,61.47827960860279,,,1.165,0.018031060805475126,0.002236077560880068,0.7401454330086865
COF,2024-09-30,0.8968707651620699,4.657803032628715,31.758915530570196,,,1.165,0.028239968216130312,0.003653123862895815,0.7757806912991657
COF,2024-06-30,0.8968251499722546,1.563415978120724,87.10019936439078,,,1.165,0.0102964764319346,0.0012437033611239579,0.8147669064003725
CBOE,2025-06-30,5.136791119355851,2.2478263442761652,101.92957996982977,18.218,,0.456,0.050395489914471285,0.025982781295934045,0.3431437696941116
CBOE,2025-03-31,5.3088735233681,2.3926182932777746,94.31618441096215,18.218,,0.456,0.056288043844477886,0.02891327172245105,0.36018957345971564
CBOE,2024-12-31,4.752135634157498,1.8770332497001188,103.49740284956962,18.218,,0.456,0.04591550612206748,0.025227561592481802,0.37370314982708663
CBOE,2024-09-30,5.051770642511214,2.087365802440542,97.29687137244827,18.218,,0.456,0.05192120333626405,0.025081788440567066,0.38136539695363925
CBOE,2024-06-30,4.379274339904367,1.3398411440823368,125.44250436462532,18.218,,0.456,0.0349106099410697,0.015169194865810968,0.39485789591466297
SCHW,2025-06-30,3.232235590431164,1.1717076107380533,75.18216471421049,,,0.955,0.04299205273907505,0.00463245419840675,0.7617843926310893
SCHW,2025-03-31,2.8539284787508956,1.0512271995765725,74.01825715633085,,,0.955,0.03855708832380683,0.004123974137130241,0.8054775706408677
SCHW,2024-12-31,2.7755734522646534,1.0047991824709204,72.97193790940361,,,0.955,0.03803617571059432,0.003834587563015403,0.9330025839793281
SCHW,2024-09-30,2.47950146888798,0.769588657387839,83.14606665734799,,,0.955,0.02982103145186911,0.0030211026595573483,1.1783331568357513
SCHW,2024-06-30,3.0146915195535104,0.728461850260122,99.47803029950107,,,0.955,0.030305098628079993,0.0029621393228442764,1.2933133119468523
CB,2025-06-30,1.586158169093495,7.444925835043501,39.785955934805735,11.318,,0.541,0.0398672881378699,0.011347170662517251,0.20116324364984486
CB,2025-03-31,1.704702588494936,3.3212851696744408,90.62076006683635,11.318,,0.541,0.01881139142110098,0.005286949060980648,0.20504557981768073
CB,2024-12-31,1.6082580000276616,6.42619531032338,42.71658161316189,11.318,,0.541,0.037649501418253066,0.010444213702808378,0.22193467263210223
CB,2024-09-30,1.641388632196913,5.76627117977891,49.52416991809275,11.318,,0.541,0.03314318311466058,0.009275334554612324,0.23004848830576155
CB,2024-06-30,1.5755516762387158,5.5187980097531515,45.62387869646416,11.318,,0.541,0.03453348819202478,0.009348105855770884,0.2281223383662408
CINF,2025-06-30,1.6385354779004293,4.382496347973025,34.20831513788911,9.571,,0.71,0.04789874833927697,0.01763554914782967,0.061813859170687366
CINF,2025-03-31,1.6730225841824211,-0.5758157389635317,-255.0058201090495,9.571,,0.71,-0.006560723137483598,-0.0024144221482991736,0.06400349905233998
CINF,2024-12-31,1.5927315892735872,2.590920485725045,54.80176468278379,9.571,,0.71,0.02906350914962325,0.0110955864222898,0.06279153211338356
CINF,2024-09-30,1.514261205712459,5.2463211772232885,25.491294736164374,9.571,,0.71,0.05940307157345697,0.022156772676916427,0.06331498116487974
CINF,2024-06-30,1.4101162118307906,1.997439180537772,57.746970636416705,9.571,,0.71,0.024418877670814746,0.008965002011378656,0.06840416373170541
C,2025-06-30,0.6433030147148064,2.1831737677392904,34.27481327217754,,,1.366,0.018768972119740344,0.0015323482178397512,1.7434315602671275
C,2025-03-31,0.6127746708711755,2.1758990821432316,32.15529054149733,,,1.366,0.01905672940757205,0.0015803919403122053,1.6169287904791378
C,2024-12-31,0.6177072213134349,1.521519053340082,45.28252454394559,,,1.366,0.013641183382211056,0.0012137980275782052,1.6039137204703724
C,2024-09-30,0.5472337411161002,1.7120817745160566,35.47419911295604,,,1.366,0.015426246534096865,0.0013321468257837471,1.6218092252575012
C,2024-06-30,0.5562761214929117,1.6862396749106026,36.16469168589168,,,1.366,0.015381746547833072,0.001337248502090464,1.525336610182458
CFG,2025-06-30,0.686042353132202,1.007466316698132,39.705487933344,,,1.118,0.01727827534279147,0.001997160001832257,0.5062613933581676
CFG,2025-03-31,0.7068992598537903,0.852243919512101,47.1253538754004,,,1.118,0.015000402155553769,0.0016943147337245854,0.4952143489101585
CFG,2024-12-31,0.772408206107325,0.9102395298500694,46.71817613697521,,,1.118,0.016533355322833346,0.0018435001677998906,0.5112971056320607
CFG,2024-09-30,0.7056075952655199,0.8580094357633593,46.0529020030365,,,1.118,0.015321674955879994,0.001738687154652126,0.5598828814375101
CFG,2024-06-30,0.6514379379982468,0.8654150397075491,39.66625546449019,,,1.118,0.016422975407432233,0.0017823204721330557,0.548158699568478
CME,2025-06-30,3.7299519403832253,2.8502700032329753,100.93174995053192,22.078,,0.457,0.03695518944446447,0.0056979439377011455,0.12330653592415011
CME,2025-03-31,3.5136506222748545,2.6587023267104284,99.32695657344165,22.078,,0.457,0.03537459259286663,0.006058355867899711,0.1265006085672957
CME,2024-12-31,3.1231064067736454,2.4321120795554374,94.58198843536802,22.078,,0.457,0.0330200967270613,0.006363179989377724,0.1294224692206336
CME,2024-09-30,2.7045924684832725,2.5386432650481123,83.60355171912546,22.078,,0.457,0.032350210162956035,0.006624328441287099,0.12146922689802313
CME,2024-06-30,2.4462324540188978,2.4576742824571993,76.54392080250844,22.078,,0.457,0.031958546522988296,0.007158413121163761,0.12399496305516758
COIN,2025-06-30,5.228779297427677,5.572215744463466,44.25887410447599,38.984,,3.712,0.11814081137908748,0.06086631824330835,0.3645767232754265
COIN,2025-03-31,4.188672146593353,0.2577006713375869,668.3335159104744,38.984,,3.712,0.006267338158085791,0.003019096308748891,0.4128812484238038
COIN,2024-12-31,6.128226236624816,5.0905850812174736,48.7763192423402,38.984,,3.712,0.12563937443039408,0.05727880430580299,0.42034994797039793
COIN,2024-09-30,5.109251319093079,0.30163010907347476,590.6903615034813,38.984,,3.712,0.008649627033169335,0.00025982709829061406,0.48476029551374283
COIN,2024-06-30,6.592934346771469,0.14556832046775148,1526.6370801933574,38.984,,3.712,0.004318599641203813,0.00012597610880346383,0.5050932596515326
CPAY,2025-06-30,5.786502245235339,4.02445945932932,80.78351605652462,13.004,,0.961,0.07162973992350737,0.013905791890924035,2.0462147031933773
CPAY,2025-03-31,7.033278827121084,3.451504357997315,101.03420568271942,13.004,,0.961,0.0696128482388221,0.013113860526704544,2.338640879063514
CPAY,2024-12-31,7.548321928952814,3.5051295983743254,96.54992887700733,13.004,,0.961,0.07818050222044641,0.013696863362323092,2.541674494093908
CPAY,2024-09-30,6.997812915779166,3.9668370545008136,78.84367456202021,13.004,,0.961,0.08875554005634946,0.015670175731816206,2.4927424539310716
CPAY,2024-06-30,6.662084328477954,3.6252537227375696,73.48727124702677,13.004,,0.961,0.09065630299543197,0.015535730327505234,2.6420941398829005
ERIE,2025-06-30,8.54707460125991,3.3407045510231543,106.88650476462962,23.928,,0.319,0.07996401996754472,0.055841767858592795,0.43197507947879304
ERIE,2025-03-31,10.520379447539387,2.6471093788188567,157.1289434914064,23.928,,0.319,0.0669537973957978,0.04663287321593894,0.43576393171744904
ERIE,2024-12-31,10.729998091949769,2.9074274962790114,140.25794123628987,23.928,,0.319,0.07650189356389558,0.052630431064863634,0.45356767968728773
ERIE,2024-09-30,14.300893701572061,3.0566150979765334,174.29454664609773,23.928,,0.319,0.08205015002913311,0.05580370001958698,0.4703353003534476
ERIE,2024-06-30,10.190819288035522,3.134507817078444,113.70812489466397,23.928,,0.319,0.08962261313759252,0.06088612015037371,0.4719711638095311
EG,2025-06-30,0.969328782736332,16.21567689672388,21.410762230440746,,,0.492,0.045272969374167776,0.011236140716138734,0.2388814913448735
EG,2025-03-31,1.0856920320545935,4.9411764705882355,73.10326349167596,,,0.492,0.01485148514851485,0.0036124681758755934,0.2536775106082037
EG,2024-12-31,1.1099035791613288,-13.79756918474631,-25.971369417272506,,,0.492,-0.04273565869126549,-0.010525194795974512,0.2585038916114154
EG,2024-09-30,1.0805479775012379,11.837209302325581,32.55654967182512,,,0.492,0.03318988002086594,0.009111413432622083,0.2208528951486698
EG,2024-06-30,1.138104864939609,16.720554272517322,22.295222789279663,,,0.492,0.05104702813227103,0.013774733637747337,0.23873651554678135
FDS,2025-05-31,8.049939705914836,3.9235992999847906,116.79582310237475,17.865,,0.822,0.068923181429689,0.03423603322791156,0.7519105115020448
FDS,2025-02-28,8.508216357861347,3.8129698038902715,120.81109254565156,17.865,,0.822,0.07042578772016567,0.03415347893475851,0.8085600926046117
FDS,2024-11-30,9.3309667915927,3.942779111307544,123.86976279766402,17.865,,0.822,0.0753288500829249,0.03705541565756925,0.7792425137869239
FDS,2024-08-31,8.334432561770408,2.3581198173389892,178.10034970371228,17.865,,0.822,0.046796272863223284,0.0220703125,0.8233202263053868
FDS,2024-05-31,8.065240862217987,4.154210842454834,96.41485810794784,17.865,,0.822,0.08365143112265949,0.03914522386681588,0.8683551240898771
FIS,2025-06-30,2.920140586349162,-0.8997022412461475,-88.05155827604324,16.032,,1.054,-0.033163985323172454,-0.0140832409432775,0.9153259949195597
FIS,2025-03-31,2.594195256285114,0.14638783269961977,507.65368989226107,16.032,,1.054,0.005110167241837006,0.0023446301878749126,0.8021635253517387
FIS,2024-12-31,2.7031417749489948,0.5291902071563088,151.02962941885843,16.032,,1.054,0.017898089171974524,0.008317546767700686,0.7350955414012739
FIS,2024-09-30,2.7041075804721153,0.4125230202578269,200.04360141072954,16.032,,1.054,0.013517590972180315,0.006521675837773314,0.663870617343552
FIS,2024-06-30,2.381795031302034,0.4335154826958106,170.53852574965532,16.032,,1.054,0.013966316530720028,0.006879010347418926,0.6597617510709466
FITB,2025-06-30,1.1963898374357562,0.9405284834640618,40.24289637896961,,,0.933,0.029729217951145616,0.0029906043592344434,0.8312819541753456
FITB,2025-03-31,1.2705932131606963,0.7717991288252143,50.33769578275279,,,0.933,0.02524138607067588,0.002421603524726218,0.9656913199039356
FITB,2024-12-31,1.4151883047362106,0.9255750616518831,44.84092620410138,,,0.933,0.03156019343344362,0.0029117960615610045,0.9414609315347416
FITB,2024-09-30,1.3564789974257658,0.8472963082374183,49.2025470898728,,,0.933,0.027569284064665127,0.0026735971780251777,0.87288298691301
FITB,2024-06-30,1.2465587058059107,0.8827988945941836,39.877433740140496,,,0.933,0.03125975241859981,0.0028181298121559397,1.005305315718298
