Date,Open,High,Low,Close,Volume,Ticker
2023-05-31,62.23957288009545,62.40238390677053,61.38723892570176,61.492584228515625,4414000,AFL
2023-06-01,61.93311664545998,62.162964930979484,61.57877999168182,61.952274322509766,2786000,AFL
2023-06-02,62.65137135992312,63.97297332891606,62.5460260636552,63.78143310546875,2642200,AFL
2023-06-05,64.06874694580445,64.73911953648991,64.03043889683482,64.28900909423828,1950900,AFL
2023-06-06,64.59545413755619,64.92106883984013,64.25068906761406,64.80614471435547,1865800,AFL
2023-06-07,64.86362091751457,65.71595489309034,64.58589304924078,65.50526428222656,1906800,AFL
2023-06-08,65.35203243219476,65.48610694771654,64.65293064504735,65.32330322265625,1925300,AFL
2023-06-09,65.41907556824252,66.15649277638666,65.16050535264878,66.0511474609375,1741300,AFL
2023-06-12,65.84045805114802,66.17564437628745,65.25627303882763,65.83087921142578,1569600,AFL
2023-06-13,65.81172182283503,66.90347562634255,65.24668724367903,66.46294403076172,3324000,AFL
2023-06-14,66.70234750559558,67.2482242735684,65.66805237474877,65.85001373291016,2470700,AFL
2023-06-15,65.7638345237474,66.87474599769588,65.60103079941419,66.80770874023438,2095600,AFL
2023-06-16,66.92261374978882,67.30568685608335,66.38631578488355,66.49166107177734,5587600,AFL
2023-06-20,66.00324476746712,66.07986085245314,64.85403271872492,64.93064880371094,2914900,AFL
2023-06-21,64.35604507581127,65.09346221744046,63.762288594851405,64.67208099365234,2960500,AFL
2023-06-22,64.66249820759741,64.84445959885485,64.26027468572451,64.68165588378906,1807300,AFL
2023-06-23,64.38477891589154,64.79658128388374,64.07832184946801,64.298583984375,2967700,AFL
2023-06-26,64.31774713915617,65.08388621721393,64.1836653113198,64.719970703125,1627000,AFL
2023-06-27,64.91149821526024,65.80214020754143,64.27943371140643,65.60102844238281,1491000,AFL
2023-06-28,65.27542356734696,65.62976022659937,64.8061554570462,65.4861068725586,2125600,AFL
2023-06-29,65.55314303801579,66.29056016676573,65.44779773390866,66.19479370117188,1489300,AFL
2023-06-30,66.50125080865294,67.03754886146048,66.32886824789153,66.84601593017578,1890400,AFL
2023-07-03,66.65447834857444,67.57384960710151,66.52040383002966,67.21951293945312,952900,AFL
2023-07-05,66.5204025458491,67.19078243214456,66.28098272356782,66.95136260986328,2407700,AFL
2023-07-06,66.5204046007819,66.78855364097844,66.16606062251458,66.69278717041016,2383000,AFL
2023-07-07,66.56828263804486,67.6600363316872,66.09901457358399,67.07585144042969,2608400,AFL
2023-07-10,67.07585043349906,67.24823297761861,66.38632025702083,66.62574005126953,2174700,AFL
2023-07-11,66.67362528546889,67.57383872117477,66.63531724255407,67.5163803100586,2255200,AFL
2023-07-12,67.98565824596324,68.04312397812716,67.04713652994869,67.2769775390625,2404500,AFL
2023-07-13,66.9513614292521,67.27696887468662,66.6448970478836,66.98966217041016,1826800,AFL
2023-07-14,67.12373371736648,67.22907901717775,66.18521216370037,66.63532257080078,1686100,AFL
2023-07-17,66.45336591033788,67.81326876007057,66.07987156860163,67.4014663696289,1525200,AFL
2023-07-18,67.4972354590475,68.1388787906661,66.96093012091481,67.9377670288086,1643000,AFL
2023-07-19,67.72707544919976,68.42617718651927,67.45892643726829,68.30168151855469,1883900,AFL
2023-07-20,68.62729143914987,69.35512233291749,68.33040593403554,69.3263931274414,1799300,AFL
2023-07-21,69.50836188583261,69.73820286056213,68.96248500427949,69.3455581665039,2199000,AFL
2023-07-24,69.40301145482628,69.95846713367908,69.22105007225085,69.3934326171875,1590100,AFL
2023-07-25,69.2114779884108,69.537092741293,68.98163700823768,69.43174743652344,2013400,AFL
2023-07-26,69.5083611589756,70.15958333599336,69.08697995428389,69.69031524658203,1873900,AFL
2023-07-27,69.87228118255787,69.97762649057847,69.00079681481209,69.01036834716797,2160100,AFL
2023-07-28,69.39343037572294,69.62327132604366,68.92416963775213,69.3263931274414,1800100,AFL
2023-07-31,69.3742848142688,69.71904991689343,68.92417441325817,69.27851104736328,2987200,AFL
2023-08-01,69.37427866499644,69.6041196108691,69.03908512356355,69.05824279785156,2210100,AFL
