Date,Open,High,Low,Close,Volume
2023-05-31,213.50955659047077,213.50955659047077,205.1827124677017,207.0589141845703,422400
2023-06-01,207.81324713944264,209.46700211331412,204.34130023781663,207.07823181152344,143000
2023-06-02,208.55792090156342,212.23295340017145,206.99120250103573,210.55018615722656,144300
2023-06-05,211.2078214747193,211.2078214747193,207.90029656639373,208.4225311279297,98100
2023-06-06,208.74167217893387,210.56951520944787,205.8113208880618,207.95831298828125,78300
2023-06-07,207.9776623853842,210.714594061816,204.40901290354566,208.08404541015625,117700
2023-06-08,208.08402903918983,210.29871123541963,207.16527467406348,209.53469848632812,99300
2023-06-09,209.5347003655446,213.76097933721303,208.73199482675895,211.0240478515625,87900
2023-06-12,211.27551440054282,212.28130543665046,209.59273245268037,210.38575744628906,63600
2023-06-13,210.99504482304144,212.7648634122621,208.99312855456137,209.30259704589844,78400
2023-06-14,209.2735888547686,210.69524619542736,207.909955935039,209.9892578125,105300
2023-06-15,210.31807371541828,211.26584036143112,209.21556544153324,210.55018615722656,92500
2023-06-16,212.24262156493154,212.74550969065083,208.84804555297478,209.85385131835938,180800
2023-06-20,208.66431453808138,208.66431453808138,204.06086155207157,204.17691040039062,193700
2023-06-21,204.46701293987786,207.98730339844488,203.08404853974932,205.86932373046875,208000
2023-06-22,206.65271298484637,206.65271298484637,201.38194972334503,204.48638916015625,252700
2023-06-23,204.09952307941816,205.90803444234692,202.63918774724297,204.15756225585938,1815000
2023-06-26,205.54052015426714,206.97184323059372,202.9003058547319,203.2581329345703,129000
2023-06-27,204.3219584475208,207.0201971030326,201.9235076904297,201.9235076904297,121900
2023-06-28,203.00670357997606,203.00670357997606,197.40711076449247,199.49607849121094,157800
2023-06-29,199.61213107074653,201.73979162313688,199.61213107074653,201.37228393554688,94100
2023-06-30,201.90418289251096,205.99506670498135,201.6527240708496,203.1033935546875,133900
2023-07-03,202.80359861528305,203.9061068747228,201.80747337898984,202.55215454101562,63600
2023-07-05,201.47250983952296,201.9101945689312,198.9728344836503,200.285888671875,98300
2023-07-06,199.7703884637577,201.64759006058813,199.7703884637577,201.01536560058594,101500
2023-07-07,200.40257486117798,201.36549301503982,199.47857058656317,199.81900024414062,113800
2023-07-10,199.29380280693414,201.6865022092819,198.56432327273407,199.34243774414062,73800
2023-07-11,199.76069573819453,201.08348598879957,199.1965630741262,200.47071838378906,99000
2023-07-12,200.86947932361358,201.7253918450687,195.10172035809202,195.61721801757812,102000
2023-07-13,195.48105504066237,196.61904131453576,194.03183188807176,195.98683166503906,92500
2023-07-14,195.94794660393939,201.07374572753906,195.46162688768362,201.07374572753906,126600
