Date,Open,High,Low,Close,Volume
2023-05-31,40.703527180217996,40.89691413259608,40.25228744506965,40.81403350830078,18154100
2023-06-01,41.145549537462124,41.762546911277155,40.80481969689161,41.29289245605469,15757100
2023-06-02,41.87306402134841,42.987345256661584,41.77176508851396,42.65582275390625,19455600
2023-06-05,42.692652001791465,42.80315831266496,42.186160937944635,42.58214569091797,11004700
2023-06-06,42.53610705351668,43.75168726566211,42.49927395082516,43.4846305847168,14189200
2023-06-07,43.714851273909666,44.368685349835445,43.42937279108598,44.21213150024414,15457400
2023-06-08,43.954279742672,44.43314514820457,43.77010020009293,44.29500961303711,12058600
2023-06-09,44.295007478017126,44.72782885527607,44.12003885311342,44.47918701171875,11744000
2023-06-12,44.45155979103478,44.663365018021985,44.17529225639637,44.6173210144043,13801000
2023-06-13,44.61732810163282,45.51059315508977,44.61732810163282,44.838340759277344,14062700
2023-06-14,44.967270343291304,45.37246257052806,43.79773416104928,44.42394256591797,22053000
2023-06-15,44.322643104460866,44.746253634213524,43.816151948197216,44.7186279296875,14926100
2023-06-16,44.976466461029915,44.976466461029915,44.35025821320688,44.37788391113281,18223000
2023-06-20,44.120040442220365,44.120040442220365,43.35570009228755,43.843772888183594,12777700
2023-06-21,43.74247611107182,44.06478768776979,43.49383424636222,43.65959548950195,10550700
2023-06-22,43.48462718114624,43.5214602809548,42.75711988770277,42.94129943847656,11841900
2023-06-23,42.45322446344759,42.591360009191085,42.21379349881611,42.379554748535156,13249100
2023-06-26,42.47163586711219,42.99654523492665,42.370336951756364,42.58214569091797,13253900
2023-06-27,42.54531644358903,42.92288295791611,42.26904886214313,42.729496002197266,11863300
2023-06-28,42.70186163331077,42.72027993824284,42.1953705429425,42.57293701171875,13394900
2023-06-29,42.51768687429906,43.08864385254974,42.37034393121921,42.628196716308594,18840800
2023-06-30,43.079428008581424,43.09784631347351,42.38875738332405,42.39796829223633,15228200
2023-07-03,42.4348086608191,43.54908985849821,42.37955374124844,43.042598724365234,10159900
2023-07-05,43.01496636802396,43.328070530202226,42.73869881620374,43.09784698486328,11852900
2023-07-06,42.82158073720831,42.82158073720831,41.541538348208285,41.79018020629883,17431400
2023-07-07,41.65204229955313,42.68344277177193,41.633623994861246,42.121700286865234,13160700
2023-07-10,41.992781023597054,42.72028840439243,41.93752961078379,42.05724334716797,14307600
2023-07-11,42.176948933242365,42.9228744163482,42.02039862298495,42.84920120239258,14131700
2023-07-12,43.52145581033493,44.45156086538039,43.484622714309936,43.63196563720703,17960500
2023-07-13,43.79773113256709,44.06478779120109,43.410953726688945,43.90823745727539,26210700
2023-07-14,44.644953712029,44.709416029784606,42.07565785999998,42.13091278076172,38634500
2023-07-17,42.18616348033354,42.932085514848694,42.10328286395047,42.600563049316406,18521400
2023-07-18,43.0518037019438,43.88981728054455,42.98734138920009,43.300445556640625,24678000
2023-07-19,43.355702573807164,44.055580651620915,42.932088552909974,43.760894775390625,15789100
2023-07-20,43.64117718327168,44.09241690358155,43.49383424636222,43.65959548950195,17647200
